3.542774,0.34544,-0.72380,0.11341,5.14856,5.15767
3.557801,0.34398,-0.72324,0.11207,5.14856,5.15633
3.572750,0.34594,-0.73416,0.11361,5.14856,5.15274
3.587906,0.34671,-0.73206,0.10885,5.14856,5.15470
3.602921,0.34902,-0.72576,0.09457,5.14856,5.16064
3.618027,0.34846,-0.72660,0.10119,5.14856,5.15956
3.636523,0.34790,-0.72778,0.10552,5.14856,5.15831
3.651642,0.34342,-0.72912,0.11403,5.14856,5.15257
3.666583,0.34426,-0.73178,0.11081,5.14856,5.15211
3.681609,0.34678,-0.73444,0.10759,5.14856,5.15353
3.696563,0.34489,-0.72835,0.11673,5.14856,5.15463
3.714933,0.34252,-0.72509,0.11882,5.14856,5.15371
3.729960,0.33558,-0.72016,0.11501,5.14856,5.14845
3.744963,0.34188,-0.72198,0.10031,5.14856,5.15464
3.759930,0.34818,-0.72380,0.10353,5.14856,5.16076
3.774921,0.34734,-0.72548,0.11095,5.14856,5.15891
3.790030,0.34706,-0.72611,0.11001,5.14856,5.15826
3.808359,0.33978,-0.72632,0.10717,5.14856,5.14995
3.823387,0.33824,-0.72758,0.10633,5.14856,5.14755
3.838562,0.33670,-0.72800,0.10605,5.14856,5.14559
3.853611,0.34090,-0.72604,0.10339,5.14856,5.15137
3.868771,0.34104,-0.72681,0.10644,5.14856,5.15112
3.883834,0.34146,-0.72912,0.11557,5.14856,5.15037
3.902153,0.34532,-0.72610,0.09505,5.14856,5.15632
3.917133,0.34790,-0.72408,0.09716,5.14856,5.16029
3.932228,0.34398,-0.72156,0.10871,5.14856,5.15724
3.947232,0.34468,-0.72177,0.10878,5.14856,5.15791
3.962265,0.34678,-0.72240,0.10885,5.14856,5.15994
3.980649,0.34174,-0.72890,0.10706,5.14856,5.15080
3.995628,0.33838,-0.72912,0.10668,5.14856,5.14690
4.010678,0.34398,-0.72492,0.10689,5.14856,5.15544
4.025948,0.34328,-0.72450,0.10241,5.14856,5.15487
4.041033,0.34258,-0.72408,0.09793,5.14856,5.15431
4.056030,0.34426,-0.72261,0.11907,5.14856,5.15699
4.071030,0.34482,-0.72212,0.11533,5.14856,5.15788
4.089614,0.34958,-0.73248,0.11879,5.14856,5.15768
4.104567,0.34636,-0.72688,0.10210,5.14856,5.15706
4.119673,0.34314,-0.72128,0.09653,5.14856,5.15644
4.134769,0.34377,-0.72940,0.10325,5.14856,5.15282
4.149820,0.34363,-0.72737,0.10794,5.14856,5.15374
4.164807,0.34258,-0.72128,0.12201,5.14856,5.15581
4.183152,0.34224,-0.71893,0.10865,5.14856,5.15669
4.198193,0.34202,-0.71736,0.09975,5.14856,5.15729
4.213187,0.33782,-0.72240,0.11207,5.14856,5.14981
4.228231,0.33894,-0.72058,0.11207,5.14856,5.15205
4.243241,0.34230,-0.71512,0.11207,5.14856,5.15882
4.261571,0.33894,-0.71781,0.11543,5.14856,5.15354
4.276567,0.33670,-0.72002,0.11596,5.14856,5.14980
4.291622,0.34034,-0.72128,0.11501,5.14856,5.15327
4.306593,0.34125,-0.72114,0.11025,5.14856,5.15438
4.321747,0.34398,-0.72100,0.10549,5.14856,5.15754
4.336781,0.33495,-0.71701,0.10518,5.14856,5.14941
4.355249,0.33278,-0.71607,0.10633,5.14856,5.14742
4.370326,0.33614,-0.71764,0.11137,5.14856,5.15044
4.385376,0.33754,-0.71918,0.10675,5.14856,5.15121
4.400513,0.33894,-0.72072,0.10213,5.14856,5.15198
4.415511,0.34104,-0.72030,0.10451,5.14856,5.15459
4.430551,0.34174,-0.71911,0.10136,5.14856,5.15602
4.448887,0.33558,-0.71596,0.09191,5.14856,5.15070
4.464013,0.33908,-0.72121,0.09160,5.14856,5.15188
4.479110,0.34258,-0.72296,0.09149,5.14856,5.15490
4.494153,0.34426,-0.72380,0.10213,5.14856,5.15635
4.509215,0.34356,-0.72352,0.10357,5.14856,5.15571
4.524292,0.34146,-0.72268,0.10787,5.14856,5.15379
4.542790,0.33928,-0.72268,0.11470,5.14856,5.15132
4.557835,0.33782,-0.72268,0.11337,5.14856,5.14966
4.572839,0.33866,-0.72268,0.10423,5.14856,5.15062
4.587965,0.34013,-0.72296,0.10304,5.14856,5.15213
4.602998,0.34454,-0.72380,0.10185,5.14856,5.15667
4.618077,0.34426,-0.72737,0.09944,5.14856,5.15444
4.636437,0.34331,-0.72794,0.10028,5.14856,5.15307
4.651519,0.34062,-0.72548,0.10689,5.14856,5.15135
4.666509,0.33992,-0.72450,0.11277,5.14856,5.15108
4.681664,0.33922,-0.72352,0.11865,5.14856,5.15080
4.696748,0.33502,-0.72289,0.11473,5.14856,5.14637
4.711813,0.33362,-0.72450,0.11291,5.14856,5.14393
4.730207,0.34734,-0.72996,0.10745,5.14856,5.15652
